;Time;Robot;Move
365;195.275;robot1;a_unknown
366;195.276;robot1;a_unknown
367;195.277;robot1;a_unknown
368;195.278;robot1;a_unknown
369;195.279;robot1;a_unknown
370;195.28;robot1;a_unknown
371;195.281;robot1;a_unknown
372;195.282;robot1;a_unknown
373;195.283;robot1;a_unknown
374;195.284;robot1;a_unknown
375;195.285;robot1;a_unknown
376;195.286;robot1;a_unknown
377;195.287;robot1;a_unknown
378;195.288;robot1;a_unknown
379;195.289;robot1;a_unknown
380;195.29;robot1;a_unknown
381;195.291;robot1;a_unknown
382;195.292;robot1;a_unknown
383;195.293;robot1;a_unknown
384;195.294;robot1;a_unknown
385;195.295;robot1;a_unknown
386;195.296;robot1;a_unknown
387;195.297;robot1;a_unknown
388;195.298;robot1;a_unknown
389;195.299;robot1;a_unknown
390;195.3;robot1;a_unknown
391;195.301;robot1;a_unknown
392;195.302;robot1;a_unknown
393;195.303;robot1;a_unknown
394;195.304;robot1;a_unknown
395;195.305;robot1;a_unknown
396;195.306;robot1;a_unknown
397;195.307;robot1;a_unknown
398;195.308;robot1;a_unknown
399;195.309;robot1;a_unknown
400;195.31;robot1;a_unknown
401;195.311;robot1;a_unknown
402;195.312;robot1;a_unknown
403;195.313;robot1;a_unknown
404;195.314;robot1;a_unknown
405;195.315;robot1;a_unknown
406;195.316;robot1;a_unknown
407;195.317;robot1;a_unknown
408;195.318;robot1;a_unknown
409;195.319;robot1;a_unknown
410;195.32;robot1;a_unknown
411;195.321;robot1;a_unknown
412;195.322;robot1;a_unknown
413;195.323;robot1;a_unknown
414;195.324;robot1;a_unknown
415;195.325;robot1;a_unknown
416;195.326;robot1;a_unknown
417;195.327;robot1;a_unknown
418;195.328;robot1;a_unknown
419;195.329;robot1;a_unknown
420;195.33;robot1;a_unknown
421;195.331;robot1;a_unknown
422;195.332;robot1;a_unknown
423;195.333;robot1;a_unknown
424;195.334;robot1;a_unknown
425;195.335;robot1;a_unknown
426;195.336;robot1;a_unknown
427;195.337;robot1;a_unknown
428;195.338;robot1;a_unknown
429;195.339;robot1;a_unknown
430;195.34;robot1;a_unknown
431;195.341;robot1;a_unknown
432;195.342;robot1;a_unknown
433;195.343;robot1;a_unknown
434;195.344;robot1;a_unknown
435;195.345;robot1;a_unknown
436;195.346;robot1;a_unknown
437;195.347;robot1;a_unknown
438;195.348;robot1;a_unknown
439;195.349;robot1;a_unknown
440;195.35;robot1;a_unknown
441;195.351;robot1;a_unknown
442;195.352;robot1;a_unknown
443;195.353;robot1;a_unknown
444;195.354;robot1;a_unknown
445;195.355;robot1;a_unknown
446;195.356;robot1;a_unknown
447;195.357;robot1;a_unknown
448;195.358;robot1;a_unknown
449;195.359;robot1;a_unknown
450;195.36;robot1;a_unknown
451;195.361;robot1;a_unknown
452;195.362;robot1;a_unknown
453;195.363;robot1;a_unknown
454;195.364;robot1;a_unknown
455;195.365;robot1;a_unknown
456;195.366;robot1;a_unknown
457;195.367;robot1;a_unknown
458;195.368;robot1;a_unknown
459;195.369;robot1;a_unknown
460;195.37;robot1;a_unknown
461;195.371;robot1;a_unknown
462;195.372;robot1;a_unknown
463;195.373;robot1;a_unknown
464;195.374;robot1;a_unknown
465;195.376;robot1;a_unknown
466;195.378;robot1;a_unknown
467;195.379;robot1;a_unknown
468;195.38;robot1;a_unknown
469;195.381;robot1;a_unknown
470;195.382;robot1;a_unknown
471;195.383;robot1;a_unknown
472;195.384;robot1;a_unknown
473;195.385;robot1;a_unknown
474;195.386;robot1;a_unknown
475;195.387;robot1;a_unknown
476;195.388;robot1;a_unknown
477;195.389;robot1;a_unknown
478;195.39;robot1;a_unknown
479;195.391;robot1;a_unknown
480;195.392;robot1;a_unknown
481;195.393;robot1;a_unknown
482;195.394;robot1;a_unknown
483;195.395;robot1;a_unknown
484;195.396;robot1;a_unknown
485;195.397;robot1;a_unknown
486;195.398;robot1;a_unknown
487;195.399;robot1;a_unknown
488;195.4;robot1;a_unknown
489;195.401;robot1;a_unknown
490;195.402;robot1;a_unknown
491;195.403;robot1;a_unknown
492;195.404;robot1;a_unknown
493;195.405;robot1;a_unknown
494;195.406;robot1;a_unknown
