Time,Robot,PosX,PosY,LinX,AngZ
315.352,robot1,-27.09616882922396,37.773161474821904,0.18118131297568932,2.1998487819595382e-07
315.45,robot1,-27.078050668759754,37.72655967336452,0.18118188635199994,2.7622795720564026e-07
315.551,robot1,-27.05993245460779,37.67995776592095,0.18118236529805212,2.509733934385843e-07
315.651,robot1,-27.041814202468714,37.633355766853846,0.18118263240191984,1.49883364652524e-07
315.751,robot1,-27.02369593734888,37.586753712885546,0.18118262225334153,-2.834004292199157e-09
315.852,robot1,-27.005577687442063,37.540151654115114,0.1811823371182972,-1.7032324303695172e-07
315.951,robot1,-26.98745947725791,37.49354964182791,0.18118184622002265,-3.121310878497687e-07
316.051,robot1,-26.969341321651843,37.44694771601291,0.18118126896388384,-3.94105043436984e-07
316.154,robot1,-26.951223222190755,37.400345895576464,0.18118074603808557,-3.96751155006196e-07
316.251,robot1,-26.933105166742948,37.35374417364467,0.18118040516887607,-3.2002510175809375e-07
316.348,robot1,-26.914987132417995,37.30714251916769,0.18118032972239317,-1.8330977257298995e-07
316.451,robot1,-26.896869091165826,37.260540884506035,0.18118053796409808,-2.0706325270092696e-08
316.551,robot1,-26.878751016670194,37.21393921715591,0.18118097834527574,1.273486179499934e-07
316.651,robot1,-26.86063289082618,37.16733747268647,0.1811815422106289,2.2395320642120365e-07
316.751,robot1,-26.842514708185345,37.120735625646184,0.18118209070870162,2.4479383959717793e-07
316.851,robot1,-26.824396477270103,37.07413367574185,0.18118248906759687,1.8408034206654012e-07
316.95,robot1,-26.806278218454686,37.027531647826315,0.1811826395473347,5.598688667585206e-08
317.051,robot1,-26.788159958962815,36.98092958577523,0.18118250507830835,-1.0885153848801096e-07
317.15,robot1,-26.770041726220935,36.93432754178758,0.18118211803933781,-2.7080433245251137e-07
317.251,robot1,-26.751923541178872,36.88772556369069,0.18118157231172471,-3.909716648870325e-07
317.351,robot1,-26.73380541320194,36.84112368327974,0.18118100056845557,-4.407012635560155e-07
317.451,robot1,-26.715687337766926,36.79452190850176,0.18118054210825388,-4.0860705959669917e-07
317.551,robot1,-26.697569297537886,36.74792022142703,0.18118030881378133,-3.033658046801759e-07
317.651,robot1,-26.67945126658889,36.70131858258095,0.18118035751386308,-1.5157781714718646e-07
317.748,robot1,-26.66133321676153,36.654716940629406,0.1811806757384349,8.743630600954489e-09
317.851,robot1,-26.64321512459309,36.608115245027804,0.18118118466361044,1.374711422876813e-07
317.951,robot1,-26.625096977089566,36.56151345846283,0.18118175861322938,2.021877436113849e-07
318.051,robot1,-26.606978774905603,36.51491156597997,0.18118225617346423,1.861259120776103e-07
318.151,robot1,-26.58886053215595,36.46830957856959,0.18118255496221564,9.226551131888854e-08
318.251,robot1,-26.570742272932417,36.42170753040341,0.18118258142910781,-5.7388326036238335e-08
318.351,robot1,-26.552624025406097,36.375105470465066,0.18118232851722546,-2.271954337103663e-07
318.451,robot1,-26.534505814960262,36.32850345062712,0.18118185720070445,-3.7660659741243604e-07
318.551,robot1,-26.516387658009407,36.28190151302982,0.1811812816760143,-4.700929327763063e-07
318.651,robot1,-26.49826955798902,36.235299679779644,0.1811807417383137,-4.858526070255603e-07
318.755,robot1,-26.48015150449213,36.188697947475426,0.18118036878809016,-4.2114180577476e-07
318.851,robot1,-26.46203347578676,36.14209628795943,0.18118025357540016,-2.9295256857172165e-07
318.951,robot1,-26.443915444128358,36.09549465518482,0.18118042366327056,-1.338412715583683e-07
319.051,robot1,-26.425797382576473,36.048892996543096,0.1811808364107463,1.60209056685059e-08
319.15,robot1,-26.40767927162719,36.00229126582925,0.18118138944543385,1.187120738052136e-07
319.251,robot1,-26.389561104006443,35.95568943459311,0.18118194603178095,1.4780952180251055e-07
319.351,robot1,-26.371442886436476,35.90908749906216,0.1811823688375373,9.48743977125437e-08
319.451,robot1,-26.353324637958984,35.862485480981064,0.18118255357219562,-2.8476441430591996e-08
319.551,robot1,-26.33520638525665,35.815883422240134,0.18118245424211388,-1.9343638131213828e-07
319.651,robot1,-26.317088156136457,35.76928137465211,0.1811820940959676,-3.6103772857211027e-07
319.751,robot1,-26.298969972758307,35.722679387350844,0.18118155986926637,-4.917070432289606e-07
319.851,robot1,-26.28085184623605,35.67607749482003,0.18118098079870126,-5.549591423250227e-07
319.951,robot1,-26.262733773911435,35.62947570843002,0.18118049729993177,-5.368536095358911e-07
320.05,robot1,-26.244615739976183,35.58287401357425,0.1811802267068882,-4.4342006909320255e-07
320.151,robot1,-26.22649771931954,35.53627237318018,0.1811802343255306,-2.991715256936313e-07
320.251,robot1,-26.20837968368361,35.48967073679595,0.18118051710619743,-1.411084609650362e-07
320.351,robot1,-26.19026160861606,35.44306905301951,0.18118100423956898,-9.651701194464258e-09
320.451,robot1,-26.172143479490014,35.39646728215709,0.18118157466577528,6.122783849407341e-08
320.551,robot1,-26.154025295090268,35.349865405945195,0.18118208704407673,5.2357014084722043e-08
320.651,robot1,-26.135907067887004,35.303263431953056,0.18118241456107162,-3.598098809159479e-08
320.751,robot1,-26.117788820955496,35.256661391652145,0.1811824758377003,-1.8409420775197676e-07
320.851,robot1,-26.099670582325043,35.21005933269706,0.18118225452570577,-3.5770488769812744e-07
320.951,robot1,-26.081552378145975,35.16345730732137,0.1811818030767363,-5.163541572573032e-07
321.051,robot1,-26.063434226324766,35.11685535963211,0.18118122997761743,-6.232972131763407e-07
321.149,robot1,-26.04531613215535,35.07025351483799,0.18118067351612502,-6.545147722420748e-07
321.251,robot1,-26.02719808700644,35.02365177302495,0.18118026818226743,-6.045915623178268e-07
321.351,robot1,-26.009080070406032,34.9770501090519,0.18118011170317333,-4.880416936347318e-07
321.451,robot1,-25.99096205504383,34.930448478669675,0.18118024081265832,-3.3575458394973355e-07
321.551,robot1,-25.972844013480614,34.88384682939983,0.18118062196495513,-1.874344950090934e-07
321.651,robot1,-25.954725924905716,34.83724511346898,0.18118115953166275,-8.188186927834914e-08
321.751,robot1,-25.936607780257056,34.79064329955426,0.18118171949816317,-4.749746505743796e-08
321.853,robot1,-25.91812722009696,34.74310934105112,0.18118216941330395,-9.710102101674353e-08
321.953,robot1,-25.900008986280376,34.69650733402864,0.18118292889065327,9.293239645090879e-07
322.052,robot1,-25.881890678931455,34.64990527834927,0.18118300183347366,2.4217670533801315e-06
322.153,robot1,-25.863772401918595,34.60330322910098,0.18118249101826245,1.3381610809078838e-06
322.253,robot1,-25.845654192029258,34.556701240365314,0.18118166606771766,-2.6920818151416703e-07
322.353,robot1,-25.827408864252295,34.50977034265886,0.19602729373857194,-4.077436567657661e-05
322.452,robot1,-25.807481488631538,34.45851422648875,0.19929665211076003,-6.145487030630614e-07
322.552,robot1,-25.78743681718475,34.406956407694906,0.21266059666915618,-3.1068852433016236e-06
322.653,robot1,-25.765536624055052,34.350625967840394,0.21922578846032248,-1.0824157777361831e-07
322.753,robot1,-25.743513036024595,34.29397816660405,0.23095792330438522,-2.497691397134101e-06
322.853,robot1,-25.719467385462114,34.23212946074902,0.2411506690702956,3.5753359367308664e-07
322.953,robot1,-25.695266833740593,34.16988232360709,0.2510922892536281,2.385057493626839e-06
323.058,robot1,-25.668908605159118,34.10208546516066,0.26526623440967323,2.931948704461204e-08
323.153,robot1,-25.642313523096455,34.033679071126805,0.2732280206620744,5.874387959443987e-06
323.253,robot1,-25.613513922853343,33.95960256366887,0.2917916660788196,-8.959608375211351e-07
323.353,robot1,-25.584285106804984,33.8844216619359,0.2975755689694371,-8.914633739828381e-06
323.453,robot1,-25.553083376748923,33.8041659878068,0.32096982898294313,1.4563045352140335e-07
323.553,robot1,-25.520986451314737,33.72160786154356,0.3209685112945176,-4.50006773811785e-07
323.653,robot1,-25.488889567969604,33.63904988829939,0.3209697806689995,-2.4305165323403392e-06
323.753,robot1,-25.456792372739198,33.5564916017891,0.32097356273698746,5.4609607423446865e-06
323.853,robot1,-25.42469497474023,33.473933094881474,0.32097383771663557,5.754137129579348e-06
323.953,robot1,-25.39256854458863,33.391299479293686,0.32437135847853754,7.262198190076552e-06
324.053,robot1,-25.35926770298484,33.30564490041336,0.34009985584557845,-3.2360083611252276e-06
324.153,robot1,-25.32475135062497,33.21686347282738,0.3493172798527092,-5.2409027688152065e-06
324.252,robot1,-25.28955496498126,33.12633276790477,0.3530658744393435,-2.164024280187085e-06
324.353,robot1,-25.254248458379458,33.03551892407555,0.3530673366985712,-1.524689410386705e-06
324.453,robot1,-25.218941505870582,32.94470470451079,0.35307097219293854,7.167841796544873e-06
324.553,robot1,-25.18363443147388,32.85389032097963,0.35306994635909206,4.460843626199548e-06
324.653,robot1,-25.148327620040675,32.76307611440162,0.35306612450721125,-3.088789301998349e-06
324.753,robot1,-25.113021152019503,32.67226227795921,0.3530634975917889,-5.6904894211436835e-06
324.853,robot1,-25.07771487428802,32.58144867008077,0.35306243381902847,-6.885943580303535e-06
324.955,robot1,-25.04240858632308,32.49063494736291,0.3530638067924296,-6.937069996274259e-06
325.053,robot1,-25.00710193262908,32.39982085749199,0.35306883250072985,3.936998100132088e-06
325.152,robot1,-24.97179495827741,32.30900651463866,0.3530698153436506,7.005120318483603e-06
325.253,robot1,-24.936488094392995,32.218192163530325,0.3530669922654342,1.2076234492227346e-07
325.353,robot1,-24.901181597512814,32.127378121135465,0.35306340929166824,-5.624047832867574e-06
325.453,robot1,-24.865875361896652,32.03656440907825,0.35306154458175276,-6.694147788019791e-06
325.553,robot1,-24.830569217371405,31.94575074246977,0.3530617494467388,-7.6108855404995325e-06
325.653,robot1,-24.79526288467561,31.854936791250783,0.3530657284878704,-1.2075739412887064e-06
325.753,robot1,-24.75995611409562,31.76412250269211,0.3530689530350291,8.72626590173939e-06
325.853,robot1,-24.72464925993706,31.67330810450716,0.3530675594982117,3.4363612254136702e-06
325.952,robot1,-24.689342698302955,31.582493859854974,0.353063622203909,-4.315642299915434e-06
326.052,robot1,-24.65403647650226,31.49167998103611,0.3530610884849256,-6.511076941496566e-06
326.153,robot1,-24.618730429984062,31.40086629845089,0.3530602313023549,-7.564909894064771e-06
326.254,robot1,-24.583424348381346,31.310052463912932,0.353062164937614,-6.509207711480543e-06
326.353,robot1,-24.5481178701941,31.21923826078366,0.3530669509955068,5.780507092549146e-06
326.453,robot1,-24.512811082167744,31.128423853562477,0.3530674738870535,6.807424329696453e-06
326.552,robot1,-24.47750447090071,31.037609455286635,0.3530642307897567,-1.2715806333961403e-06
326.653,robot1,-24.44219823802542,30.946795368419945,0.3530608448128244,-6.292438403157162e-06
326.752,robot1,-24.406892252846866,30.85598159197051,0.35305912704082015,-7.236284395823024e-06
326.853,robot1,-24.37158633792578,30.765167822483473,0.3530595649120823,-7.954469780663315e-06
326.953,robot1,-24.336280197340546,30.67435374292952,0.35306389717881015,-2.658396499006985e-07
327.053,robot1,-24.300973555315274,30.583539348806152,0.35306732461020157,6.108165998380851e-06
327.153,robot1,-24.26566695294169,30.492724855370266,0.35306471935169326,2.4588797909792015e-06
327.252,robot1,-24.23036068726596,30.401910547887766,0.35306070766635556,-4.990659727281907e-06
327.353,robot1,-24.195054748460173,30.31109660397315,0.353058321084845,-6.777307958464953e-06
327.448,robot1,-24.159748967734718,30.22028282339908,0.3530576893692261,-7.795512533904375e-06
327.553,robot1,-24.12444312191394,30.129468856647065,0.35306017928698125,-5.528481169026781e-06
327.653,robot1,-24.08913682893046,30.03865452241779,0.35306604629532584,2.728766033242857e-06
327.753,robot1,-24.05383026812445,29.94783999452087,0.3530645197168171,5.859467756168714e-06
327.853,robot1,-24.018901200701954,29.8579399317851,0.31501923735186976,-5.90139845355577e-06
327.952,robot1,-23.987134012088674,29.776243262881234,0.3178029074727174,-7.873326278871263e-07
328.053,robot1,-23.955705815626548,29.69538311595129,0.28422235738986235,-7.110268305787236e-06
328.153,robot1,-23.927100911295074,29.621829806504724,0.28605733173999115,4.5279291330942124e-07
328.253,robot1,-23.898495106152616,29.54827353891268,0.2860588167548555,7.504988281062364e-07
328.353,robot1,-23.870217339294058,29.4755339029851,0.25666333001637315,3.2782100624143872e-06
328.452,robot1,-23.84446587381683,29.409326589895272,0.25748436343780234,4.1763542486174824e-07
328.553,robot1,-23.81902408151895,29.34389307522876,0.2314339726130048,-2.79972537433263e-07
328.653,robot1,-23.79584503019979,29.284306244582552,0.23175885585980627,-5.463690535895428e-07
328.753,robot1,-23.77266921516673,29.224727446305796,0.23175766546197352,-5.590926423322008e-07
328.853,robot1,-23.74949348908535,29.165148816498608,0.23175693469399383,-4.528757152454463e-07
328.953,robot1,-23.726317810366186,29.10557030831718,0.2317567454508553,-1.8070653310820402e-07
329.053,robot1,-23.703142119006156,29.04599182737934,0.2317571728865333,1.6206792662727778e-07
329.153,robot1,-23.679966359999607,28.98641326847525,0.23175804759101856,4.4124032088745515e-07
329.253,robot1,-23.656790505154383,28.926834557373297,0.23175902297899703,5.461981500894439e-07
329.353,robot1,-23.633614564213044,28.867255680106478,0.23175971344177537,4.349221153238021e-07
329.453,robot1,-23.61043858090627,28.807676688240687,0.2317598468513919,1.5074888783019148e-07
329.553,robot1,-23.58726261563876,28.748097678400534,0.23175937087645004,-1.946850302403456e-07
329.652,robot1,-23.564086721708062,28.68851875429379,0.2317584727793895,-4.6554280800508426e-07
329.753,robot1,-23.540910924342345,28.628939985968476,0.23175750611259965,-5.554418593672357e-07
329.853,robot1,-23.51773521071312,28.56936138208661,0.23175685232554866,-4.2947095398541993e-07
329.953,robot1,-23.49455953490193,28.50978288625211,0.2317567701887565,-1.3799255596449443e-07
330.053,robot1,-23.471383836002943,28.450204399200825,0.2317572923810026,2.032783252748295e-07
330.153,robot1,-23.44820806225958,28.390625818207106,0.23175821182027526,4.58960169081731e-07
330.253,robot1,-23.425032191586634,28.331047077854965,0.23175916421771822,5.274777760797775e-07
330.354,robot1,-23.402140252396794,28.271734224535777,0.19946832004220463,0.1054174251608499
330.453,robot1,-23.387102429192595,28.222803326522303,0.1379949028262556,0.24170880138833695
330.553,robot1,-23.372480925122723,28.18037131788691,0.1563746121019342,0.14432308774776612
330.652,robot1,-23.355520379139055,28.141409993929294,0.17982828110999646,0.07356272137861417
330.753,robot1,-23.337571062816576,28.10393692229579,0.17950624599864798,0.06417561938103532
330.852,robot1,-23.319567832546195,28.066793792149216,0.1806981833624359,0.06069619705513064
330.953,robot1,-23.301405246911497,28.029822478324455,0.1826016906679791,0.05988273448313503
331.053,robot1,-23.283032065515815,27.992952336074044,0.18487045187726692,0.0603283350447916
331.153,robot1,-23.264420240903192,27.95615089219328,0.187357158072452,0.0614228738563407
331.252,robot1,-23.245551607375344,27.919402669539956,0.18999814494127973,0.06289153458749255
331.352,robot1,-23.226412488500795,27.882700425340797,0.19276145539588785,0.06459153958608724
331.453,robot1,-23.20699184405084,27.846041791030704,0.19562389903151947,0.06642543189558045
331.553,robot1,-23.187280912284226,27.809428128799052,0.19856238441522103,0.06830791511364454
331.664,robot1,-23.167273332830273,27.772864104794095,0.20155204432602009,0.07015934074122165
331.753,robot1,-23.14696524323827,27.736357253993123,0.2045683951831781,0.071910948670682
331.853,robot1,-23.126355069443974,27.699917274519578,0.20759076034180085,0.07351440679213514
331.952,robot1,-23.105442942331532,27.663554979958146,0.21060621220098727,0.07495088234252921
332.052,robot1,-23.08422977183651,27.627281051301033,0.21361227447829276,0.07623527433293822
332.153,robot1,-23.06271615610458,27.591104788573976,0.21661753400644687,0.07741442174610486
332.253,robot1,-23.040694166418795,27.554694211078207,0.23990329198699414,0.006488136174654338
332.353,robot1,-23.011046155492902,27.504438887555494,0.3247394472405648,-2.41296026530081e-06
332.453,robot1,-22.97856395001056,27.449378542107848,0.3248217826206295,2.9738546092033464e-07
332.553,robot1,-22.94608178559228,27.394318276907903,0.32482158916160114,1.436395351848179e-06
332.653,robot1,-22.913599614313615,27.339258048021463,0.32482191598158006,1.8220783045240974e-06
332.755,robot1,-22.881117388415337,27.28419779066971,0.32482264057486926,1.4755614135696813e-06
332.853,robot1,-22.848635081605547,27.22913745100936,0.3248234778840014,5.594738990314075e-07
332.953,robot1,-22.816152699485155,27.174077007684595,0.32482409723391986,-5.60166046977758e-07
333.053,robot1,-22.783670277459898,27.119016480271878,0.32482425293639383,-1.4435665715767843e-06
333.153,robot1,-22.751187866801065,27.06395592152933,0.3248238827339351,-1.745625932053756e-06
333.252,robot1,-22.718705514304332,27.008895396582172,0.32482313332787294,-1.3475628313793799e-06
333.353,robot1,-22.68622324371215,26.953834957239167,0.32482230158287784,-4.041467010908136e-07
333.453,robot1,-22.65374104637371,26.89877462153124,0.3248217158609721,7.128957683072805e-07
333.553,robot1,-22.621258884778772,26.843714366552895,0.3248216063661914,1.559427230014723e-06
333.653,robot1,-22.58877670740289,26.78865413748668,0.3248220156695651,1.797544473157438e-06
333.753,robot1,-22.556294468957244,26.73359386927741,0.32482278269785836,1.3331548365817683e-06
333.853,robot1,-22.52381214818705,26.67853351236089,0.32482360536824567,3.52275709716767e-07
333.953,robot1,-22.491329756314936,26.623473052234772,0.3248241585241255,-7.570474428603098e-07
334.053,robot1,-22.458847332724858,26.568412515147855,0.3248242225455695,-1.559809393815599e-06
334.152,robot1,-22.426364929426246,26.513351957715052,0.3248237715692649,-1.7422603281169434e-06
334.253,robot1,-22.39388259040768,26.458291444585498,0.32482298435660717,-1.2319589706189493e-06
334.353,robot1,-22.361400334185067,26.403231022943704,0.3248221726000116,-2.2773074692647074e-07
334.453,robot1,-22.328918146549253,26.348170703866067,0.3248216565213211,8.742049389489655e-07
